Part,BaseValue,TotalAddedValue,CompleteValue
HAND BRAKE,7.5,33.129999999999995,40.629999999999995
AIR RIDE PUMP,21.990000000000002,235.66000000000003,257.65000000000003
CYLINDER OF STARTER,8.29,19.98,28.27
SMOG PUMP,14.171818181818184,158.32000000000005,172.49181818181825
BATTERY BOX,6.49,106.89999999999998,113.38999999999997
DIESEL TRANSMISSION,200.99,560.4100000000001,761.4000000000001
WINDSHIELD,34.290000000000006,212.81,247.10000000000002
ENGINE CRADLE,29.990000000000002,537.705,567.695
RADIO W/ SCREEN,31.30857142857143,834.4050000000001,865.7135714285715
DOOR LATCH (ELECT),17.811160714285716,1921.1000000000004,1938.911160714286
BLOWER MOTOR RESISTO,11.266470588235293,248.96,260.2264705882353
RADIO BEZEL,9.958494623655914,3469.4799999999996,3479.4384946236555
ACTUATOR CABLE,4.0,93.785,97.785
FAN ELECTRIC (DUAL),26.11255681818182,7275.805,7301.917556818182
COIL PACK,25.99842105263158,414.295,440.2934210526316
DOOR PANEL COMPLETE,16.47258953168044,3997.7208333333333,4014.193422865014
AIR BREATHER TUBE,9.063170731707318,4380.1033333333335,4389.1665040650405
FUSE BOX W/ RELAYS,22.29219917012448,4053.8150000000005,4076.107199170125
AC HOSE (SINGLE),10.814358974358973,2225.17,2235.984358974359
AC HOSE (DOUBLE),13.02435294117647,1351.365,1364.3893529411764
ROOF RACK RAILS,23.0,88.82,111.82
LIFT SUPPORT,4.96907949790795,1929.960833333333,1934.929912831241
AC DRYER / RECEIVER,13.353636363636365,696.9300000000001,710.2836363636364
BUMPER PLASTIC,40.742061224489795,13217.175000000001,13257.91706122449
DIPSTICK ONLY,1.9915254237288136,536.785,538.7765254237288
WIPES REGULATOR,12.0,480.15500000000003,492.15500000000003
CIGARETTE LIGHTER,1.99,46.275000000000006,48.26500000000001
STEERING COLUMN COVER,8.426250000000001,903.615,912.04125
EXTRA SMALL CNTRL M,9.17908396946565,1995.9437142857143,2005.12279825518
HUB LOCKING TYPE 4X4,17.99,61.94499999999999,79.93499999999999
VALVE COVER FERROUS/PLASTIC,13.292189781021897,2029.99,2043.282189781022
HEAT SHIELD,5.18625,64.69,69.87625
SEAT SECTION (BENCH),12.99,710.6500000000001,723.6400000000001
HOOD TRUCK,56.64486725663717,3331.1550000000007,3387.7998672566378
MIRROR INT (POWER),16.24833333333333,650.075,666.3233333333334
HEADLAMP SWITCH,8.457326732673266,1266.72,1275.1773267326732
INTAKE MANIFOLD ALUM,30.49,819.8899999999999,850.3799999999999
CARGO COVER,13.582592592592594,624.6600000000001,638.2425925925927
DOOR BARE/ SHELL,30.99,209.86,240.85000000000002
PEDAL ASSEMBLY,20.360370370370372,338.70000000000005,359.06037037037044
MUD FLAP,3.790000000000001,576.4758333333334,580.2658333333334
OIL FILTER HOUSING,9.695882352941178,230.24,239.93588235294118
DASH COMPLETE,80.61020408163265,942.3199999999999,1022.9302040816326
ENG HARN W FUSE BOX,41.74633333333334,996.87,1038.6163333333334
THERMOSTAT,2.0565,364.06500000000005,366.1215000000001
BRAKE CABLES,3.998,15.884166666666667,19.882166666666667
SPEAKER COVERS,2.990000000000001,74.46833333333332,77.45833333333331
ANY SEAT SPECIAL,8.31,135.27833333333334,143.58833333333334
ALTENATOR BRACKET,9.535,113.60499999999999,123.13999999999999
HEATER CORE,13.704285714285716,284.65500000000003,298.35928571428576
RAD & COND COMBO,55.0,28.11,83.11
WASHER PUMP,3.60904761904762,383.1050000000001,386.7140476190477
TIRE SALE,9.99,69.665,79.655
PRESSURE PLATE,20.0,30.475,50.475
HITCH BALL,8.989999999999998,113.48,122.47
CLOCK SPRING,24.56692307692308,336.56000000000006,361.12692307692316
CIRCUIT BOARD,10.245,62.519999999999996,72.765
AC HEATER ACTUATOR,15.151290322580646,531.215,546.3662903225807
BATTERY CABLE,5.989999999999998,259.24000000000007,265.2300000000001
OIL/FUEL FILLER NECK,7.458181818181819,301.70500000000004,309.16318181818184
STEERING COLUMN EXTENSION,13.329999999999998,174.92,188.25
ABS CONTROL MODULE,15.989999999999998,244.32000000000002,260.31
VOLTAGE RESISTOR,4.99,5.386666666666667,10.376666666666667
U JOINT,5.99,10.729999999999999,16.72
REAR END SPIDER/ SIDE GEAR,3.9900000000000007,11.273,15.263
BALL JOINT,3.99,45.99,49.980000000000004
RADIO W/ NAVIGATION,75.0,24.99,99.99
BRAKE WHEEL CYLINDER,6.99,145.85000000000002,152.84000000000003
CARRIER BEARING,8.99,25.9,34.89
PARK BRAKE LEVER,6.99,5.99,12.98
RUNNING BOARD STEEL,25.626363636363635,57.6,83.22636363636363
HEADLIGHT EACH,19.99,33.975,53.965
GRILL LARGE,24.85486486486487,4293.15,4318.004864864864
HOOD/TRUNK LATCH,8.882,363.87,372.752
SEAT BUCKET ELECTRICAL,33.54275862068965,598.945,632.4877586206896
GLOVE BOX ASSBLY,14.990000000000004,246.43,261.42
DRIVE SHAFT 1 PC,29.99,585.26,615.25
ECM,39.85666666666667,440.23,480.0866666666667
FENDER TRUCK,47.8035922330097,2699.554999999999,2747.3585922330085
FUEL INJECTION SPIDER ASSEMBLY,69.99,131.45,201.44
SEAT SECT ANY ALL,14.990000000000002,551.42,566.41
BRACKET SMALL,8.99,1248.765,1257.755
OIL PAN ALUMINUM,24.99,30.97,55.959999999999994
TIRE 17-19,23.65511627906977,607.106,630.7611162790697
THIRD BRAKE LIGHT,13.82529411764706,262.91666666666663,276.7419607843137
TIRE 20- UP,26.990000000000002,113.94500000000001,140.935
POWER STEERING PRESSURE HOSE,10.99,239.87999999999997,250.86999999999998
DOOR TRUCK,63.58459459459456,756.2108333333334,819.795427927928
CENTER PILLAR,79.99,57.980000000000004,137.97
